title,year,actors_count,actresses_count,producer_count_male,producer_count_female,director_count,directress_count,averageRating,numVotes,budget,revenue,actress_percent,actors_percent,women_directing_percent,men_directing_percent,women_producing_percent,men_producing_percent,Animation,Family,Fantasy,Musical,Romance,Music,Adventure,Drama,Crime,Thriller,Documentary,Horror,Action,Western,Comedy,War,Sci-Fi,Sport,History,Biography,Mystery,Film-Noir,Adult,revenue_budget,class,moviesByYear
alone_with_her,2006,5,7,2,0,1,0,6.0,4164,1000000.0,10018.0,58.0,42.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010018,0,107
harley_davidson_and_the_marlboro_man,1991,26,11,3,1,1,0,6.1,21690,23000000.0,7434726.0,30.0,70.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.32324895652173913,0,20
the_pirate,1948,25,19,1,0,1,0,6.9,5395,3700000.0,2956000.0,43.0,57.0,0.0,100.0,0.0,100.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.798918918918919,0,2
12_angry_men,1957,17,0,3,0,1,0,9.0,832561,350000.0,1000000.0,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857142857,1,1
the_nun's_story,1959,12,27,2,0,1,0,7.5,11415,3500000.0,12800000.0,69.0,31.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.657142857142857,1,2
the_misfits,1961,15,5,2,0,1,0,7.2,22513,4000000.0,8200000.0,25.0,75.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.05,1,5
charly,1968,12,4,2,0,1,0,6.9,7120,950000.0,814666.0,25.0,75.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8575431578947369,0,5
topaz,1969,30,8,2,0,1,0,6.2,19094,4000000.0,6000000.0,21.0,79.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,7
the_black_hole,1979,9,1,1,0,1,0,5.9,27174,20000000.0,35841901.0,10.0,90.0,0.0,100.0,0.0,100.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.79209505,0,8
galaxina,1980,28,9,2,1,1,0,3.6,3298,5500000.0,4865000.0,24.0,76.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.8845454545454545,0,13
creepshow,1982,25,11,3,0,1,0,6.8,51329,8000000.0,21028755.0,31.0,69.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2.628594375,1,14
the_dead_zone,1983,29,9,2,1,1,0,7.2,74761,10000000.0,20766616.0,24.0,76.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0766616,1,10
lone_wolf_mcquade,1983,28,7,3,1,1,0,6.3,13369,5000000.0,12232628.0,20.0,80.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4465256,1,10
the_wraith,1986,19,5,3,0,1,0,5.9,18355,2700000.0,3500000.0,21.0,79.0,0.0,100.0,0.0,100.0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1.2962962962962963,0,15
dangerous_liaisons,1988,10,11,2,1,1,0,7.6,73532,14000000.0,34670720.0,52.0,48.0,0.0,100.0,33.0,67.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47648,1,22
halloween_4:_the_return_of_michael_myers,1988,29,12,2,1,1,0,5.8,56449,5000000.0,17768757.0,29.0,71.0,0.0,100.0,33.0,67.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5537514,1,22
my_stepmother_is_an_alien,1988,16,19,5,0,1,0,5.4,27272,20000000.0,13854000.0,54.0,46.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.6927,0,22
the_assassination_of_jesse_james_by_the_coward_robert_ford,2007,34,15,11,2,1,0,7.5,189284,30000000.0,14711793.0,31.0,69.0,0.0,100.0,15.0,85.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.4903931,0,86
riding_giants,2004,9,1,4,3,1,0,7.8,4621,2600000.0,3166000.0,10.0,90.0,0.0,100.0,43.0,57.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.2176923076923076,0,104
down_in_the_valley,2005,18,10,8,1,1,0,6.4,18796,8000000.0,852872.0,36.0,64.0,0.0,100.0,11.0,89.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106609,0,102
two_girls_and_a_guy,1997,2,3,4,1,1,0,5.5,8648,1000000.0,2057193.0,60.0,40.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.057193,1,63
the_cave,2005,13,2,10,0,1,0,5.1,40529,30000000.0,15007991.0,13.0,87.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5002663666666667,0,102
white_squall,1996,21,14,5,2,1,0,6.6,24889,38000000.0,10300000.0,40.0,60.0,0.0,100.0,29.0,71.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2710526315789474,0,55
battlefield_earth,2000,32,4,8,2,1,0,2.5,82134,44000000.0,21400000.0,11.0,89.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4863636363636364,0,91
because_of_winn-dixie,2005,15,11,2,2,1,0,6.3,12337,14000000.0,32645546.0,42.0,58.0,0.0,100.0,50.0,50.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.3318247142857143,1,102
without_a_paddle,2004,18,10,3,2,1,0,5.8,50072,19000000.0,69631118.0,36.0,64.0,0.0,100.0,40.0,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.6647956842105263,1,104
anacondas:_the_hunt_for_the_blood_orchid,2004,13,2,1,1,1,0,4.7,33117,20000000.0,70992898.0,13.0,87.0,0.0,100.0,50.0,50.0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3.5496449,1,104
space_chimps,2008,16,8,10,0,1,0,4.5,12239,37000000.0,63800345.0,33.0,67.0,0.0,100.0,0.0,100.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.7243336486486487,0,103
the_good_night,2007,12,14,7,2,1,0,5.7,8676,15000000.0,20380.0,54.0,46.0,0.0,100.0,22.0,78.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0013586666666666667,0,86
freddy's_dead:_the_final_nightmare,1991,21,11,4,0,0,1,4.7,49331,11000000.0,34872033.0,34.0,66.0,100.0,0.0,0.0,100.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.170184818181818,1,20
hudson_hawk,1991,30,6,4,1,1,0,5.7,58853,65000000.0,17218080.0,17.0,83.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.26489353846153846,0,20
